Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2,2013-08-13,5299,573,1,1,0,1
1,4,2013-08-22,3703,498,1,0,0,0
1,1,2013-10-14,3773,478,1,0,0,1
1,6,2013-06-15,4766,567,1,0,0,0
1,3,2013-12-18,7821,828,1,1,0,0
1,1,2014-11-17,3582,491,1,0,0,0
1,3,2014-04-16,6381,662,1,1,0,1
1,5,2013-11-01,5471,707,1,0,0,0
1,4,2014-10-09,4654,527,1,1,0,0
1,3,2013-08-28,4583,507,1,1,0,0
1,2,2014-05-13,3535,449,1,0,0,0
1,5,2013-06-28,4407,568,1,0,0,0
1,4,2013-02-07,5499,675,1,1,0,0
1,6,2013-07-20,4421,544,1,0,0,1
1,4,2013-01-17,4044,503,1,0,0,0
1,6,2015-01-24,4840,600,1,0,0,0
1,1,2013-11-18,5927,681,1,1,0,0
1,1,2015-05-11,3551,453,1,0,0,0
1,2,2014-08-26,3396,460,1,0,0,1
1,4,2015-03-19,4748,535,1,1,0,0
1,2,2015-05-12,3547,438,1,0,0,0
1,2,2014-12-09,4345,559,1,0,0,0
1,1,2015-04-27,5575,574,1,1,0,0
1,5,2013-11-15,4016,504,1,0,0,0
1,6,2015-07-04,4797,560,1,0,0,0
1,4,2013-08-29,4804,534,1,1,0,0
1,4,2013-04-04,4293,566,1,0,0,1
1,2,2014-02-11,3461,481,1,0,0,0
1,5,2014-03-28,3987,471,1,0,0,0
1,2,2015-06-16,4852,503,1,1,0,0
1,5,2014-01-17,3803,479,1,0,0,0
1,5,2015-04-17,4718,511,1,1,0,0
1,6,2015-02-14,5015,624,1,0,0,0
1,6,2013-07-27,3352,456,1,0,0,1
1,6,2013-04-06,5075,657,1,0,0,0
1,5,2014-08-08,4451,503,1,1,0,1
1,5,2013-03-01,4611,584,1,0,0,0
1,2,2013-11-19,5143,583,1,1,0,0
1,5,2014-06-27,4019,501,1,0,0,0
1,3,2013-10-02,4001,509,1,0,0,0
2,1,2013-08-12,6518,725,1,1,0,1
2,3,2013-08-21,4399,655,1,0,0,1
2,4,2014-11-20,4527,535,1,0,0,0
2,4,2013-06-27,4791,575,1,0,0,0
2,6,2015-01-03,3132,350,1,0,0,0
2,6,2014-11-15,2979,373,1,0,0,0
2,6,2014-03-01,3350,373,1,0,0,0
2,1,2014-09-22,4004,501,1,0,0,0
2,6,2013-08-17,2731,353,1,0,0,0
2,3,2014-11-26,7588,828,1,1,0,0
2,5,2013-09-06,3793,471,1,0,0,0
2,4,2014-10-09,5283,614,1,1,0,1
2,1,2014-10-20,6631,684,1,1,0,0
2,1,2014-11-10,6423,690,1,1,0,0
2,4,2013-01-17,2973,403,1,0,0,0
2,1,2015-01-26,5931,638,1,1,0,0
2,6,2013-11-16,2829,359,1,0,0,0
2,2,2015-05-12,4319,541,1,0,0,0
2,2,2013-09-03,4199,549,1,0,0,0
2,5,2015-03-20,4759,532,1,1,0,0
2,3,2015-05-13,5662,734,1,0,0,0
2,6,2013-11-09,3145,376,1,0,0,0
2,2,2015-04-28,6861,678,1,1,0,0
2,4,2014-01-09,6081,643,1,1,0,0
2,6,2015-07-04,4475,1147,1,0,0,0
2,2,2014-11-18,3468,411,1,0,0,0
2,4,2013-04-04,4114,542,1,0,0,1
2,2,2014-02-11,4056,532,1,0,0,0
2,3,2013-06-19,5708,734,1,1,0,0
2,2,2015-06-16,6243,648,1,1,0,0
2,6,2014-06-28,2644,340,1,0,0,0
2,6,2015-04-18,3066,340,1,0,0,0
2,1,2015-02-16,7478,703,1,1,0,0
2,6,2013-06-08,2246,306,1,0,0,0
2,3,2013-06-05,6682,823,1,1,0,0
2,5,2014-02-14,4324,527,1,0,0,0
2,3,2013-11-06,6941,798,1,1,0,0
2,1,2013-11-18,7435,735,1,1,0,0
2,4,2014-06-26,4215,542,1,0,0,0
2,5,2013-07-05,5288,1036,1,1,0,0
3,6,2013-08-10,3883,427,1,0,0,0
3,2,2013-08-20,5290,671,1,0,0,1
3,5,2013-10-11,7076,700,1,1,0,0
3,5,2013-06-14,6440,742,1,0,0,0
3,2,2013-12-17,14555,1284,1,1,0,0
3,1,2014-11-17,5935,718,1,0,0,0
3,2,2014-04-15,10021,951,1,1,0,1
3,3,2013-10-30,5900,683,1,0,0,1
3,3,2014-10-08,8472,842,1,1,0,1
3,1,2013-08-26,9613,948,1,1,0,1
3,1,2014-05-12,4367,594,1,0,0,0
3,4,2013-06-27,6546,787,1,0,0,0
3,6,2013-02-09,4324,494,1,0,0,0
3,4,2013-01-10,7772,791,1,1,0,0
3,4,2013-01-17,4463,600,1,0,0,0
3,6,2015-01-24,3452,381,1,0,0,0
3,6,2013-11-16,3893,451,1,0,0,0
3,1,2015-05-11,5797,714,1,0,0,0
3,1,2014-08-25,5393,703,1,0,0,0
3,4,2015-03-19,6947,760,1,1,0,0
3,2,2015-05-12,6043,707,1,0,0,0
3,2,2014-12-09,6446,785,1,0,0,0
3,1,2015-04-27,9447,866,1,1,0,0
3,4,2013-11-14,5240,685,1,0,0,0
3,6,2015-07-04,4482,456,1,0,0,0
3,2,2013-08-27,8893,914,1,1,0,1
3,4,2013-04-04,6663,781,1,0,0,1
3,1,2014-02-10,5396,737,1,0,0,0
3,4,2014-03-27,4969,635,1,0,0,0
3,2,2015-06-16,9780,911,1,1,0,0
3,4,2014-01-16,5395,681,1,0,0,0
3,5,2015-04-17,7735,824,1,1,0,0
3,6,2015-02-14,4221,498,1,0,0,0
3,5,2013-07-26,5283,656,1,0,0,1
3,5,2013-02-15,5159,673,1,0,0,0
3,4,2014-08-07,8010,827,1,1,0,1
3,5,2013-03-01,6575,800,1,0,0,0
3,1,2013-11-18,9719,932,1,1,0,0
3,4,2014-06-26,5766,662,1,0,0,0
3,1,2013-09-30,8988,945,1,0,0,0
4,1,2013-08-12,11913,1660,1,1,0,0
4,3,2013-08-21,6617,1015,1,0,0,0
4,4,2014-11-20,7866,1184,1,0,0,0
4,4,2013-06-27,8181,1111,1,0,0,1
4,6,2015-01-03,9751,1454,1,0,0,0
4,6,2014-11-15,11185,1512,1,0,0,0
4,6,2014-03-01,11248,1584,1,0,0,0
4,1,2014-09-22,8184,1205,1,0,0,0
4,6,2013-08-17,8244,1272,1,0,0,0
4,3,2014-11-26,10083,1291,1,1,0,0
4,5,2013-09-06,6979,1057,1,0,0,0
4,5,2014-10-10,9501,1295,1,1,0,0
4,2,2014-10-21,9786,1357,1,1,0,1
4,1,2014-11-10,10593,1442,1,1,0,0
4,4,2013-01-17,7088,1090,1,0,0,0
4,1,2015-01-26,10174,1381,1,1,0,0
4,6,2013-11-16,10157,1454,1,0,0,0
4,2,2015-05-12,7543,1091,1,0,0,0
4,2,2013-09-03,7646,1131,1,0,0,0
4,5,2015-03-20,9421,1270,1,1,0,0
4,3,2015-05-13,10041,1408,1,0,0,0
4,6,2013-11-09,10373,1479,1,0,0,0
4,2,2015-04-28,10751,1358,1,1,0,0
4,4,2014-01-09,9489,1297,1,1,0,0
4,6,2015-07-04,9358,1257,1,0,0,0
4,2,2014-11-18,8331,1155,1,0,0,0
4,4,2013-04-04,8692,1208,1,0,0,1
4,2,2014-02-11,7483,1131,1,0,0,0
4,3,2013-06-19,9357,1208,1,1,0,1
4,2,2015-06-16,10671,1352,1,1,0,0
4,6,2014-06-28,9601,1310,1,0,0,0
4,6,2015-04-18,11196,1456,1,0,0,0
4,1,2015-02-16,11092,1511,1,1,0,0
4,6,2013-06-08,8419,1222,1,0,0,0
4,3,2013-06-05,9537,1252,1,1,0,0
4,5,2014-02-14,8877,1275,1,0,0,0
4,3,2013-11-06,9236,1263,1,1,0,0
4,1,2013-11-18,11331,1495,1,1,0,0
4,4,2014-06-26,7080,1032,1,0,0,0
4,5,2013-07-05,8419,1198,1,1,0,1
5,6,2013-08-10,2005,244,1,0,0,0
5,2,2013-08-20,3825,537,1,0,0,1
5,5,2013-10-11,5421,597,1,1,0,0
5,5,2013-06-14,4487,587,1,0,0,0
5,3,2013-12-18,9315,881,1,1,0,0
5,1,2014-11-17,4564,594,1,0,0,0
5,3,2014-04-16,7722,795,1,1,0,0
5,3,2013-10-30,5850,743,1,0,0,1
5,3,2014-10-08,5399,666,1,1,0,0
5,1,2013-08-26,7457,735,1,1,0,0
5,2,2014-05-13,3710,495,1,0,0,0
5,4,2013-06-27,4646,571,1,0,0,0
5,6,2013-02-09,1709,188,1,0,0,0
5,4,2013-01-10,4999,596,1,1,0,0
5,4,2013-01-17,3401,464,1,0,0,0
5,1,2015-01-26,6277,659,1,1,0,0
5,6,2013-11-16,1925,233,1,0,0,0
5,2,2015-05-12,4438,562,1,0,0,0
5,1,2014-08-25,3693,484,1,0,0,1
5,5,2015-03-20,4709,554,1,1,0,0
5,3,2015-05-13,5414,692,1,0,0,0
5,3,2014-12-10,5345,602,1,0,0,0
5,2,2015-04-28,6012,580,1,1,0,0
5,4,2013-11-14,4086,521,1,0,0,0
5,6,2015-07-04,2240,225,1,0,0,0
5,2,2013-08-27,6045,646,1,1,0,0
5,4,2013-04-04,3875,496,1,0,0,1
5,2,2014-02-11,3649,505,1,0,0,0
5,5,2014-03-28,3575,460,1,0,0,0
5,2,2015-06-16,6354,671,1,1,0,0
5,5,2014-01-17,4169,520,1,0,0,0
5,6,2015-04-18,1828,230,1,0,0,0
5,1,2015-02-16,7566,708,1,1,0,1
5,5,2013-07-26,4432,509,1,0,0,1
5,5,2013-02-15,3811,500,1,0,0,1
5,4,2014-08-07,4940,583,1,1,0,1
5,5,2013-03-01,4082,549,1,0,0,0
5,1,2013-11-18,8022,759,1,1,0,0
5,4,2014-06-26,3115,450,1,0,0,0
5,1,2013-09-30,4367,581,1,0,0,0
6,6,2013-08-10,3693,412,1,0,0,0
6,2,2013-08-20,5391,693,1,0,0,1
6,5,2013-10-11,7332,774,1,1,0,0
6,5,2013-06-14,6440,744,1,0,0,0
6,3,2013-12-18,7958,847,1,1,0,0
6,1,2014-11-17,5220,613,1,0,0,0
6,3,2014-04-16,7317,776,1,1,0,0
6,3,2013-10-30,7765,887,1,0,0,1
6,3,2014-10-08,5778,630,1,1,0,0
6,1,2013-08-26,7736,887,1,1,0,0
6,2,2014-05-13,4166,542,1,0,0,0
6,4,2013-06-27,5988,715,1,0,0,0
6,6,2013-02-09,3851,438,1,0,0,0
6,4,2013-01-10,6282,737,1,1,0,0
6,4,2013-01-17,5235,665,1,0,0,0
6,1,2015-01-26,6360,731,1,1,0,0
6,6,2013-11-16,4294,458,1,0,0,0
6,2,2015-05-12,4124,520,1,0,0,0
6,1,2014-08-25,4330,602,1,0,0,1
6,5,2015-03-20,5120,592,1,1,0,0
6,3,2015-05-13,5029,641,1,0,0,0
6,3,2014-12-10,4735,569,1,0,0,0
6,2,2015-04-28,5458,546,1,1,0,0
6,4,2013-11-14,5595,673,1,0,0,0
6,6,2015-07-04,2979,315,1,0,0,0
6,2,2013-08-27,7031,824,1,1,0,0
6,6,2013-03-30,5249,610,1,0,0,0
6,2,2014-02-11,4535,603,1,0,0,0
6,5,2014-03-28,4891,574,1,0,0,0
6,2,2015-06-16,5804,642,1,1,0,0
6,5,2014-01-17,4563,567,1,0,0,0
6,6,2015-04-18,2937,349,1,0,0,0
6,1,2015-02-16,6506,677,1,1,0,1
6,5,2013-07-26,5370,666,1,0,0,1
6,2,2013-01-08,7099,774,1,1,0,0
6,4,2014-08-07,5251,576,1,1,0,1
6,5,2013-03-01,6755,759,1,0,0,0
6,1,2013-11-18,8478,925,1,1,0,0
6,4,2014-06-26,4103,513,1,0,0,0
6,1,2013-09-30,7368,895,1,0,0,0
7,5,2013-02-08,8091,879,1,1,0,0
7,2,2015-06-16,11151,1198,1,1,0,0
7,2,2014-11-18,8339,946,1,0,0,0
7,2,2014-12-02,13115,1187,1,1,0,0
7,2,2014-10-21,8801,930,1,1,0,1
7,4,2014-11-13,7935,880,1,1,0,0
7,6,2013-10-12,4345,459,1,0,0,0
7,6,2013-08-10,5763,722,1,0,0,0
7,4,2014-08-07,11960,1335,1,1,0,1
7,1,2015-02-16,11966,1083,1,1,0,0
7,4,2014-07-10,7713,932,1,0,0,0
7,1,2014-11-10,10223,1011,1,1,0,0
7,6,2015-01-03,4960,516,1,0,0,0
7,5,2013-11-29,10301,1013,1,0,0,0
7,6,2015-01-10,4761,460,1,0,0,0
7,2,2015-05-12,8310,1011,1,0,0,0
7,6,2013-11-16,5693,587,1,0,0,0
7,6,2013-04-27,5164,607,1,0,0,0
7,4,2013-11-07,8461,962,1,1,0,0
7,6,2013-01-05,5218,575,1,0,0,0
7,4,2013-02-14,6520,812,1,0,0,0
7,2,2014-02-11,7386,926,1,0,0,0
7,5,2014-08-22,11115,1201,1,1,0,1
7,4,2014-06-26,7129,824,1,0,0,0
7,6,2015-07-04,6559,723,1,0,0,0
7,2,2014-10-07,10890,1082,1,1,0,0
7,2,2013-08-13,12269,1322,1,1,0,0
7,2,2014-05-06,11540,1193,1,1,0,0
7,6,2013-07-27,6469,744,1,0,0,0
7,1,2014-03-03,12998,1209,1,1,0,0
7,1,2013-07-22,8915,1161,1,0,0,1
7,4,2013-01-17,6779,778,1,0,0,0
7,3,2013-12-18,12917,1267,1,1,0,0
7,6,2013-05-11,6153,729,1,0,0,0
7,6,2015-04-04,13089,1327,1,0,0,0
7,5,2014-06-13,9202,1099,1,0,0,0
7,4,2013-08-29,9889,1043,1,1,0,0
7,1,2013-11-18,11140,1129,1,1,0,0
7,2,2013-04-23,9166,1012,1,1,0,0
7,2,2013-01-08,10073,1070,1,1,0,0
8,1,2013-08-12,8337,896,1,1,0,0
8,3,2013-08-21,3740,511,1,0,0,0
8,4,2014-11-20,5759,796,1,0,0,0
8,4,2013-06-27,4961,635,1,0,0,1
8,6,2015-01-03,3250,371,1,0,0,0
8,6,2014-11-15,3583,445,1,0,0,0
8,6,2014-03-01,3557,392,1,0,0,0
8,1,2014-09-22,4737,695,1,0,0,0
8,6,2013-08-17,1725,283,1,0,0,0
8,3,2014-11-26,8065,839,1,1,0,0
8,5,2013-09-06,3586,494,1,0,0,0
8,5,2014-10-10,6394,749,1,1,0,0
8,2,2014-10-21,6081,684,1,1,0,1
8,1,2014-11-10,8504,913,1,1,0,0
8,4,2013-01-17,4833,693,1,0,0,0
8,1,2015-01-26,7502,807,1,1,0,0
8,6,2013-11-16,2523,332,1,0,0,0
8,2,2015-05-12,5811,745,1,0,0,0
8,2,2013-09-03,4698,639,1,0,0,0
8,5,2015-03-20,5853,675,1,1,0,0
